q|0|10|2|0|1785147957
ss|0|10|3|0|1785207396
f|0|10|5|0|1785152392
a|0|10|14|0|1785201487
qw|0|10|15|0|1785266984
d|0|9|7|0|1785165465
qwe|0|7|0|0|1785266896
qw|0|6|1|0|1785266880
qwe|0|6|3|0|1785266890
qw|0|5|0|0|1785266874
qw|0|4|1|0|1785266869
qw|0|3|1|0|1785266822
aaa|0|3|2|0|1785211970
q|0|3|2|0|1785267817
qwe|0|3|3|0|1785266793
d|0|3|4|0|1785165453
aa|0|3|5|0|1785213703
q|0|3|13|0|1785267812
f|0|3|16|0|1785152383
sadf|0|3|52|0|1785152017
d|0|2|1|0|1785147613
qwe|0|2|1|0|1785266781
quan|0|2|3|0|1785147564
a|0|2|4|0|1785201460
s|0|2|8|0|1785206576
quan|0|1|1|0|1785147556
q|0|1|1|0|1785147953
ss|0|1|1|0|1785207390
qwe|0|1|1|0|1785266705
fgdhjd|0|1|1|0|1785266714
a|0|1|4|0|1785201494
asd|0|1|5|0|1785164992
aaaaa|0|1|7|0|1785230113
aaa|0|0|1|0|1785211258
aaa|0|0|1|0|1785211258
aaa|0|0|1|0|1785211258
aaa|0|0|1|0|1785211259
aaa|0|0|1|0|1785211259
aaa|0|0|1|0|1785211263
aaa|0|0|1|0|1785211263
aaa|0|0|1|0|1785211269
aaa|0|0|1|0|1785211269
aaa|0|0|1|0|1785211270
aa|0|0|2|0|1785212423
aaaaa|0|0|2|0|1785230002
er|0|0|3|0|1785266749
q|0|0|4|0|1785268007
qq|0|0|7|0|1785210429
qq|0|0|7|0|1785210429
qq|0|0|7|0|1785210430
qq|0|0|7|0|1785210430
qq|0|0|7|0|1785210431
qq|0|0|7|0|1785210431
qq|0|0|7|0|1785210431
re|0|0|17|0|1785266773
q|0|0|18|0|1785267539
