qwe|1|0|70|0|1785295025
sss|1|0|50|0|1785416019
qw|1|0|36|0|1785355056
qw|1|0|34|0|1785267658
huy|1|0|32|0|1785138024
qw|1|0|26|0|1785267588
as|1|0|24|0|1785152053
m|1|0|24|0|1785381252
aaa|1|0|21|0|1785307321
qw|1|0|18|0|1785294722
aaaa|1|0|17|0|1785213157
ss|1|0|17|0|1785395233
ss|1|0|17|0|1785395447
qw|1|0|16|0|1785306766
qw|1|0|15|0|1785268027
mnk|1|0|15|0|1785394492
qw|1|0|14|0|1785355015
s|1|0|14|0|1785395317
sss|1|0|14|0|1785395467
ds|1|0|14|0|1785404380
qw|1|0|13|0|1785294771
aaaaa|1|0|12|0|1785213732
wqe|1|0|12|0|1785306746
qw|1|0|12|0|1785354620
q|1|0|11|0|1785267793
qw|1|0|11|0|1785306719
ss|1|0|11|0|1785395300
qw|1|0|10|0|1785267558
ss|1|0|10|0|1785395481
asd|1|0|9|0|1785302406
dd|1|0|9|0|1785393716
s|1|0|9|0|1785393841
aaaa|1|0|8|0|1785230100
qw|1|0|8|0|1785267003
aaa|1|0|8|0|1785307288
ss|1|0|8|0|1785379691
dd|1|0|8|0|1785393700
sss|1|0|8|0|1785395121
l|1|0|7|0|1785152405
aaaaaaaa|1|0|7|0|1785230087
dd|1|0|7|0|1785393562
xxx|1|0|7|0|1785393907
sss|1|0|7|0|1785395492
sss|1|0|7|0|1785404391
a|1|0|6|0|1785213871
aaaacvxcvxcvc|1|0|6|0|1785230495
aaa|1|0|6|0|1785230506
qwe|1|0|6|0|1785267617
qe|1|0|6|0|1785267773
wq|1|0|6|0|1785306777
21|1|0|6|0|1785351043
xxx|1|0|6|0|1785379527
aaa|1|0|5|0|1785212432
aaa|1|0|5|0|1785213135
AAAA|1|0|5|0|1785213715
aaa|1|0|5|0|1785230449
q|1|0|5|0|1785266637
as|1|0|5|0|1785302368
qw|1|0|5|0|1785306730
qe|1|0|5|0|1785339657
AZdx|1|0|5|0|1785354570
sd|1|0|5|0|1785380169
q23|1|0|5|0|1785388777
s|1|0|5|0|1785391507
d|1|0|5|0|1785393383
dd|1|0|5|0|1785393609
ss|1|0|5|0|1785395211
ss|1|0|5|0|1785395325
ss|1|0|5|0|1785395334
ss|1|0|5|0|1785395343
aaaaa|1|0|4|0|1785211981
qwe|1|0|4|0|1785266672
qwe|1|0|4|0|1785266682
qwe|1|0|4|0|1785267013
qwe|1|0|4|0|1785267045
wqe|1|0|4|0|1785294951
12|1|0|4|0|1785350884
qw|1|0|4|0|1785354592
q|1|0|4|0|1785393618
xxmxx|1|0|4|0|1785393750
m|1|0|4|0|1785394471
ss|1|0|4|0|1785394508
mm|1|0|3|0|1785212414
fvxcvxcv|1|0|3|0|1785230123
aa|1|0|3|0|1785230551
qw|1|0|3|0|1785341801
sd|1|0|3|0|1785393374
sss|1|0|3|0|1785393436
sss|1|0|3|0|1785393462
ss|1|0|3|0|1785393674
sss|1|0|3|0|1785394500
ssss|1|0|3|0|1785395108
aaaaa|1|0|2|0|1785210370
aaaaa|1|0|2|0|1785210371
aaaaa|1|0|2|0|1785210372
aaaaa|1|0|2|0|1785210373
aaaaa|1|0|2|0|1785210373
aaaaa|1|0|2|0|1785210373
aaaaa|1|0|2|0|1785210373
aaaaa|1|0|2|0|1785210378
